"Player","ID","season","cut","misc","postup","prman","putback","transition","handoff","offscreen","prhandler","spotup","isolation"
"DamianLillard","203081",2016,59,93,NA,NA,18,199,125,106,815,152,327
"TerrenceRoss","203082",2016,NA,19,NA,NA,NA,96,38,165,82,239,42
"AndreDrummond","203083",2016,183,185,405,194,343,89,NA,NA,NA,22,53
"HarrisonBarnes","203084",2016,72,29,95,22,27,143,10,31,33,221,65
"AustinRivers","203085",2016,30,19,NA,NA,NA,91,42,16,210,123,90
"MeyersLeonard","203086",2016,38,50,31,140,22,36,NA,13,NA,188,NA
"JeremyLamb","203087",2016,48,17,NA,NA,28,71,35,95,145,112,41
"KendallMarshall","203088",2016,NA,16,10,NA,NA,14,NA,NA,49,47,19
"JohnHenson","203089",2016,120,38,57,89,58,25,NA,NA,NA,14,NA
"MauriceHarkless","203090",2016,65,28,23,11,67,87,18,24,32,146,19
"TylerZeller","203092",2016,64,32,24,132,41,40,NA,11,NA,37,NA
"TerrenceJones","203093",2016,69,37,37,56,41,78,NA,NA,NA,109,27
"AndrewNicholson","203094",2016,19,21,123,71,19,28,NA,10,NA,85,NA
"EvanFournier","203095",2016,52,51,NA,NA,17,187,101,147,255,290,59
"JaredSullinger","203096",2016,87,64,160,165,123,68,NA,47,NA,205,57
"JohnJenkins","203098",2016,NA,NA,NA,NA,NA,24,NA,13,30,19,NA
"TonyWroten","203100",2016,NA,NA,NA,NA,NA,28,NA,NA,37,18,14
"MilesPlumlee","203101",2016,93,28,37,61,52,17,NA,NA,NA,NA,NA
"FestusEzeli","203105",2016,98,31,69,52,51,18,NA,NA,NA,NA,NA
"JaeCrowder","203109",2016,56,66,35,38,35,207,65,74,73,330,21
"DraymondGreen","203110",2016,118,123,106,154,86,226,16,28,61,240,61
"QuincyAcy","203112",2016,49,24,NA,38,35,36,NA,NA,NA,72,NA
"KhrisMiddleton","203114",2016,30,80,117,25,19,196,149,171,261,237,161
"WillBarton","203115",2016,49,66,10,NA,40,273,86,39,294,277,91
"MikeScott","203118",2016,68,16,36,84,25,71,NA,NA,NA,126,NA
"KostasPapanikolaou","203123",2016,NA,11,NA,NA,NA,11,10,NA,13,35,NA
"KyleO'Quinn","203124",2016,51,31,66,71,36,23,NA,NA,NA,53,23
"RobertSacre","203135",2016,15,15,19,25,18,NA,NA,NA,NA,11,NA
"HollisThompson","203138",2016,36,27,NA,NA,33,151,89,65,52,313,13
"MirzaTeletovic","203141",2016,19,41,125,83,37,127,44,112,12,302,27
"PabloPrigioni","203143",2016,NA,19,NA,NA,NA,25,NA,NA,88,37,16
"KentBazemore","203145",2016,82,43,NA,NA,14,217,63,43,140,279,44
"BrianRoberts","203148",2016,NA,NA,NA,NA,NA,11,NA,NA,67,26,14
"HenrySims","203156",2016,19,11,18,21,12,NA,NA,NA,NA,12,NA
"WillieReed","203186",2016,54,NA,15,44,39,NA,NA,NA,NA,NA,NA
"ChrisJohnson","203187",2016,13,17,NA,NA,NA,38,29,NA,18,120,NA
"JustinHoliday","203200",2016,NA,15,NA,NA,NA,68,18,11,32,89,11
"JaMychalGreen","203210",2016,101,42,88,94,114,55,NA,NA,NA,114,21
"AronBaynes","203382",2016,97,59,93,118,97,28,NA,NA,NA,24,NA
"NerlensNoel","203457",2016,181,72,87,157,109,89,NA,NA,NA,71,79
"AlexLen","203458",2016,172,73,258,99,111,39,NA,16,NA,79,22
"AllenCrabbe","203459",2016,34,26,NA,25,10,140,85,128,72,255,NA
"AndreRoberson","203460",2016,60,22,NA,NA,41,89,NA,NA,NA,113,NA
"ArchieGoodwin","203462",2016,34,50,NA,NA,20,128,31,11,156,121,50
"BenMcLemore","203463",2016,36,33,NA,NA,11,157,38,80,49,166,27
"CJMcCollum","203468",2016,38,63,NA,NA,21,225,134,137,642,254,195
"CodyZeller","203469",2016,120,53,16,175,63,68,NA,23,NA,71,12
"DennisSchroder","203471",2016,16,46,NA,NA,NA,100,64,47,568,129,72
"DewayneDedmon","203473",2016,59,26,15,66,45,20,NA,NA,NA,NA,NA
"GorguiDieng","203476",2016,140,89,130,185,73,60,NA,NA,NA,118,31
"IsaiahCanaan","203477",2016,20,36,NA,NA,NA,161,78,49,178,244,97
"JeffWithey","203481",2016,81,25,NA,39,37,13,NA,NA,NA,17,NA
"KellyOlynyk","203482",2016,51,39,50,133,45,95,34,39,NA,170,20
"KentaviousCaldwell-Pope","203484",2016,37,55,NA,NA,40,258,61,94,260,297,58
"MasonPlumlee","203486",2016,189,103,71,171,94,104,NA,NA,NA,35,44
"MichaelCarter-Williams","203487",2016,64,62,37,NA,23,104,19,10,254,115,92
"OttoPorter Jr.","203490",2016,79,40,11,22,60,207,21,61,83,243,13
"RayMcCallum","203492",2016,NA,NA,NA,NA,NA,16,12,10,31,13,NA
"ReggieBullock","203493",2016,NA,NA,NA,NA,NA,18,11,NA,NA,52,NA
"RobertCovington","203496",2016,32,74,NA,51,36,185,75,45,42,344,38
"RudyGobert","203497",2016,177,93,24,106,141,40,NA,NA,NA,13,11
"ShabazzMuhammad","203498",2016,78,33,85,NA,81,174,36,90,59,178,45
"ShaneLarkin","203499",2016,37,47,NA,NA,NA,98,44,NA,327,86,43
"StevenAdams","203500",2016,176,70,44,148,117,42,NA,NA,NA,NA,NA
